square_feet,num_bedrooms,num_bathrooms,lot_size,year_built,has_garage,neighborhood,price_k
2248.0,3,1,5899.0,1979,No,B,313.03
1931.0,2,2,3152.0,1980,No,D,267.2
2324.0,2,4,5167.0,1950,Yes,D,305.39
2762.0,2,3,3607.0,1995,No,A,365.22
1883.0,3,2,2917.0,1963,No,C,263.64
1883.0,2,2,5616.0,1985,Yes,C,296.6
2790.0,3,2,6737.0,1995,Yes,A,396.72
2384.0,4,2,4425.0,2004,Yes,A,376.13
1765.0,3,2,4682.0,1985,Yes,B,298.67
2271.0,4,2,3293.0,1992,Yes,B,334.14
1768.0,4,2,5011.0,1992,No,B,283.98
1767.0,3,3,6140.0,1964,Yes,A,336.17
2121.0,4,3,6187.0,1987,No,B,330.3
1043.0,4,1,5818.0,1993,Yes,B,231.5
1138.0,3,3,4072.0,2004,Yes,D,232.05
1719.0,3,2,4025.0,2004,Yes,B,288.13
1494.0,3,2,6193.0,2007,Yes,D,256.91
2157.0,5,3,6218.0,2006,No,B,354.04
1546.0,4,2,4742.0,2005,Yes,B,296.77
1294.0,2,1,4361.0,1951,Yes,B,208.45
2733.0,4,1,6751.0,1983,No,C,361.55
1887.0,3,2,4460.0,1998,Yes,C,306.0
2034.0,3,3,6119.0,2013,Yes,C,321.56
1288.0,4,4,4795.0,1957,Yes,C,252.72
1728.0,3,3,3429.0,2018,Yes,B,294.45
2055.0,4,3,7418.0,2007,Yes,C,342.39
1425.0,4,3,5180.0,1992,Yes,D,270.86
2188.0,4,3,3934.0,2011,Yes,C,330.36
1700.0,2,1,2914.0,2001,Yes,D,244.41
1854.0,4,3,3065.0,1982,Yes,B,309.74
1699.0,5,2,4441.0,1969,No,C,280.92
2926.0,2,3,7888.0,2008,Yes,C,384.93
1993.0,3,1,4123.0,2009,Yes,C,292.26
1471.0,3,3,7171.0,2012,Yes,C,283.26
2411.0,4,3,4804.0,2005,No,B,372.49
1390.0,4,4,3228.0,1986,No,C,269.75
2104.0,2,3,4290.0,2009,Yes,D,304.74
1020.0,4,2,3079.0,2000,Yes,B,226.93
1336.0,2,2,3716.0,1978,Yes,D,232.5
2098.0,4,2,3671.0,1958,Yes,A,340.23
2369.0,3,1,2144.0,1989,Yes,A,333.0
2086.0,3,1,7269.0,2017,No,B,315.34
1942.0,2,1,5317.0,1992,Yes,C,279.39
1849.0,2,2,3971.0,1972,Yes,A,301.05
1261.0,4,3,5333.0,1957,Yes,C,263.7
1640.0,3,3,3747.0,2013,No,B,271.02
1770.0,2,1,993.0,1972,Yes,B,246.51
2529.0,2,1,9435.0,2005,No,B,342.15
2172.0,2,1,5284.0,1963,Yes,A,333.59
1118.0,4,2,4116.0,1966,No,B,232.32
2162.0,4,1,2099.0,1969,Yes,B,321.95
1807.0,2,2,2759.0,1961,Yes,B,272.61
1662.0,3,2,7482.0,1990,Yes,D,286.15
2306.0,2,2,7253.0,1981,Yes,C,326.75
2515.0,5,2,6130.0,1986,Yes,B,396.9
2466.0,5,2,3327.0,1967,Yes,B,361.84
1580.0,4,3,7265.0,1978,Yes,A,318.19
1845.0,5,3,5675.0,1956,No,C,281.9
2166.0,4,2,5982.0,1989,Yes,D,329.83
