age,income_k,credit_score,tenure_years,monthly_spend,satisfaction_score,target_class
38,62.64,564,2.97,702.05,7.65,0
25,73.49,742,5.86,623.2,3.73,1
43,37.92,676,1.96,973.18,6.14,0
44,55.72,638,3.85,933.74,4.86,0
18,72.44,662,5.27,410.6,10.0,1
22,60.98,753,4.73,613.57,4.99,0
36,82.01,731,8.18,956.14,4.25,1
32,36.36,671,3.79,884.11,2.34,0
35,34.65,600,0.0,811.8,4.95,0
26,71.55,605,0.94,1033.25,6.68,0
44,72.99,733,5.95,582.53,8.13,1
43,57.1,591,4.24,769.1,4.89,0
36,66.01,672,2.29,1013.97,8.26,1
46,71.18,850,11.88,757.16,6.4,1
40,47.79,712,8.49,968.76,5.77,0
26,49.4,732,5.82,647.83,6.76,1
39,62.85,606,6.7,718.75,8.63,0
25,73.56,594,5.2,507.92,6.58,1
44,42.51,736,2.24,447.43,4.84,0
35,57.03,660,9.09,795.29,7.14,1
33,56.34,762,8.55,999.01,7.11,1
28,66.27,690,0.07,874.74,6.21,1
47,59.87,850,6.68,1155.26,8.03,1
33,51.81,647,7.01,813.58,3.07,0
31,78.73,707,5.03,433.57,7.04,1
31,51.91,624,12.29,975.72,7.68,0
40,55.62,759,11.97,662.72,4.33,1
39,36.13,718,4.87,927.69,4.28,0
39,49.3,620,5.33,397.19,8.0,1
39,67.74,665,4.98,839.49,8.26,1
56,64.81,783,4.17,1054.59,8.54,1
31,68.99,775,3.24,1027.71,5.46,1
30,68.26,588,7.52,844.84,6.8,1
27,91.32,654,11.88,888.71,7.0,1
41,48.78,814,10.65,790.62,3.94,1
46,35.71,675,8.37,834.37,6.74,0
34,44.24,700,0.0,1037.89,6.71,0
27,49.45,759,0.41,735.02,7.62,1
27,45.39,594,9.19,756.58,5.64,1
42,61.4,621,10.86,552.5,8.38,1
42,78.79,664,7.66,1042.27,6.62,1
40,83.09,771,5.08,829.63,9.06,1
28,67.56,758,10.06,622.15,7.62,1
37,92.12,737,8.26,1080.92,6.92,1
36,54.65,677,9.41,877.77,4.73,1
37,35.51,766,0.43,724.7,4.52,0
44,75.8,676,7.03,1084.38,8.9,1
37,32.42,727,11.32,812.89,7.82,1
42,48.67,751,7.58,542.75,6.07,1
36,67.8,806,8.84,1098.88,5.87,0
38,58.46,683,6.11,703.21,6.83,1
41,57.14,662,6.32,1552.45,4.48,0
20,42.29,778,10.21,789.96,5.8,1
32,59.84,783,3.99,444.61,7.42,1
30,75.05,649,3.7,1273.98,7.62,0
29,60.3,610,4.57,875.63,5.95,0
32,47.55,772,6.07,944.33,8.9,1
50,41.29,572,1.17,972.02,8.07,0
26,47.86,569,8.19,588.69,5.35,1
45,65.89,668,5.51,411.36,4.59,1
18,65.15,687,8.56,1317.86,7.39,1
32,47.99,606,0.0,544.1,5.82,0
37,26.84,696,8.57,1248.4,5.54,0
41,66.3,699,10.01,1003.87,6.83,1
42,46.53,646,7.32,926.59,7.58,1
43,70.34,822,6.09,785.05,7.69,1
32,48.66,710,8.6,1396.01,6.58,0
30,45.18,759,9.81,735.66,3.06,1
44,62.3,578,7.57,741.81,7.93,0
33,95.37,577,7.79,1036.15,5.29,0
22,71.24,712,10.97,740.05,6.96,1
24,62.04,810,8.28,665.59,6.32,1
26,65.38,609,3.6,875.51,9.87,1
40,33.73,690,9.8,1039.59,9.59,1
36,43.16,594,5.63,1301.83,5.81,0
42,22.34,630,6.1,1346.7,4.48,0
31,85.95,694,6.32,494.39,4.6,1
37,82.91,646,8.91,1117.75,6.91,1
41,65.89,589,11.25,671.92,5.69,1
32,62.03,587,6.07,682.89,4.83,0
40,36.73,548,11.19,769.75,5.71,0
28,56.71,713,6.49,755.74,7.18,1
31,86.89,722,10.21,653.13,6.38,1
31,61.97,721,6.6,376.91,5.78,1
23,51.53,616,4.52,1206.86,5.96,0
40,33.63,750,11.77,1086.31,6.26,1
30,80.7,729,4.24,885.08,6.83,1
35,58.95,681,4.04,675.86,6.92,1
40,33.65,669,2.23,1160.47,4.03,0
39,46.14,635,9.8,874.78,6.75,0
42,40.84,693,10.51,762.22,5.96,1
34,58.02,793,7.12,527.04,4.98,1
31,63.11,760,3.05,1007.18,5.94,0
34,52.45,662,5.98,815.21,8.23,1
18,71.66,718,5.09,946.24,7.71,1
21,61.18,603,2.91,925.89,6.65,0
22,75.93,731,4.53,1028.65,5.15,1
25,54.64,622,7.52,936.66,4.46,0
39,105.68,728,4.18,821.78,5.09,1
26,51.53,850,6.88,1010.91,6.52,1
31,46.45,640,0.67,1098.09,6.55,0
48,44.61,850,11.04,1229.12,5.52,1
31,56.84,714,4.83,642.4,7.82,0
42,34.21,628,8.61,1133.61,7.08,0
26,64.42,624,6.57,539.6,2.52,0
33,31.42,846,7.21,1112.15,6.66,1
25,62.43,715,2.6,759.06,7.63,1
32,39.73,640,3.72,1074.13,6.8,0
43,54.28,666,3.79,1217.38,7.37,0
18,69.07,710,6.08,939.45,6.1,0
39,94.56,679,9.98,889.58,6.4,1
37,43.83,704,7.3,878.35,6.43,0
