brand,fuel_type,transmission,seller_type,car_age_years,mileage_km,engine_size_l,horsepower,previous_owners,price_k
Hyundai,Hybrid,Manual,Dealer,3.6,103461,1.6,145.0,1,16.0
Toyota,Diesel,Automatic,Dealer,9.9,91959,2.0,128.0,1,14.66
Honda,Diesel,Manual,Individual,4.3,87872,1.0,75.0,2,11.94
Honda,Hybrid,Automatic,Certified,8.2,182724,1.4,154.0,2,13.04
Toyota,Electric,Automatic,Dealer,3.5,102939,1.7,172.0,1,28.82
Kia,Petrol,Automatic,Individual,4.3,97446,1.0,131.0,1,7.88
Nissan,Diesel,Manual,Individual,3.8,111346,2.0,125.0,2,6.37
Honda,Petrol,Automatic,Dealer,6.1,140696,1.6,173.0,2,7.17
Kia,Hybrid,Automatic,Dealer,6.9,115414,1.1,167.0,1,16.21
Nissan,Diesel,Automatic,Individual,8.3,89892,1.9,134.0,1,10.62
Ford,Petrol,Automatic,Individual,4.0,65285,2.4,179.0,2,16.53
Honda,Hybrid,Automatic,Dealer,7.5,150321,1.4,143.0,1,14.73
Kia,Diesel,Automatic,Certified,3.5,70098,1.3,183.0,2,19.05
Honda,Hybrid,Automatic,Dealer,2.4,62183,1.0,177.0,1,24.47
Mercedes,Hybrid,Automatic,Dealer,6.6,109137,2.8,172.0,1,29.55
Hyundai,Petrol,Manual,Individual,6.7,121226,1.5,161.0,1,4.5
Nissan,Diesel,Automatic,Dealer,8.5,114488,1.7,86.0,3,8.94
Honda,Petrol,Automatic,Dealer,2.7,134377,1.2,94.0,2,10.08
Kia,Electric,Manual,Individual,5.8,121757,2.3,253.0,2,17.43
Ford,Petrol,Manual,Dealer,6.0,124991,1.4,165.0,1,11.48
Honda,Petrol,Automatic,Individual,5.1,81459,1.5,118.0,2,13.15
Toyota,Petrol,Automatic,Dealer,5.2,45935,1.9,155.0,1,18.79
Ford,Petrol,Manual,Certified,1.8,52746,1.8,100.0,1,16.5
Hyundai,Electric,Manual,Dealer,7.2,187358,1.8,134.0,1,11.96
Honda,Petrol,Automatic,Dealer,0.1,107968,1.6,159.0,1,17.85
Toyota,Petrol,Manual,Individual,6.5,91811,1.9,196.0,3,10.83
Ford,Diesel,Automatic,Individual,9.3,124966,1.9,136.0,1,8.45
,Electric,Automatic,Certified,8.9,89875,1.9,155.0,3,29.99
Nissan,Petrol,Manual,Individual,5.8,121243,1.6,160.0,1,11.71
Hyundai,Electric,Automatic,Dealer,0.3,32477,1.6,163.0,1,32.92
Nissan,Petrol,Manual,Individual,5.3,93371,2.0,161.0,1,11.43
Kia,Petrol,Automatic,Certified,4.6,122363,1.7,120.0,1,12.19
Honda,Petrol,Manual,Individual,1.8,88385,1.9,180.0,1,12.56
Kia,Petrol,Manual,Dealer,1.5,93798,1.6,115.0,3,8.38
Mercedes,Diesel,Manual,Dealer,5.1,74692,1.0,134.0,1,22.26
Honda,Diesel,Manual,Dealer,4.5,67267,2.8,125.0,1,17.15
Kia,Diesel,Automatic,Individual,8.4,108800,1.7,210.0,1,14.21
Kia,Hybrid,Automatic,Individual,3.3,81998,1.8,205.0,1,20.28
Honda,Hybrid,Automatic,Individual,2.3,105211,2.4,172.0,1,19.81
Ford,Diesel,Manual,Dealer,3.1,42327,1.6,103.0,2,14.46
Toyota,Electric,Manual,Certified,5.7,67984,1.4,158.0,2,23.35
Hyundai,Petrol,Automatic,Individual,5.9,88681,1.8,153.0,2,14.1
Honda,Hybrid,Manual,Individual,3.1,96319,1.5,86.0,4,14.88
Mercedes,Electric,Automatic,Individual,4.7,93694,1.9,163.0,1,33.53
Toyota,Petrol,Automatic,Individual,2.4,57008,2.4,202.0,1,20.17
Honda,Petrol,Manual,Certified,6.0,105055,2.0,165.0,2,10.27
Toyota,Petrol,Manual,Individual,6.8,137851,1.8,213.0,1,8.52
Toyota,Petrol,Manual,Dealer,8.3,67352,2.3,140.0,1,13.79
Ford,Petrol,Manual,Individual,4.3,105215,1.6,157.0,2,10.2
Ford,Petrol,Automatic,Individual,4.6,114359,2.2,239.0,1,16.41
Toyota,Petrol,Manual,Individual,5.7,60161,1.9,82.0,1,12.26
Honda,Petrol,Automatic,Individual,7.8,155970,1.4,94.0,1,5.13
Toyota,Hybrid,Manual,Individual,1.5,33031,2.2,210.0,2,26.94
BMW,Electric,Manual,Dealer,5.6,159094,2.0,185.0,2,24.1
Ford,Petrol,Automatic,Dealer,3.5,84918,2.6,189.0,1,20.24
Ford,Petrol,Manual,Dealer,9.7,153806,2.5,223.0,1,7.62
Kia,Petrol,Automatic,Certified,8.8,115751,1.6,119.0,2,10.61
Hyundai,Petrol,Automatic,Individual,2.0,54166,2.4,147.0,1,17.39
Honda,Diesel,Automatic,Dealer,10.4,90249,2.0,222.0,1,11.4
Kia,Petrol,Automatic,Dealer,6.1,99960,2.0,226.0,2,14.83
Ford,Petrol,Manual,Dealer,7.8,48569,1.4,151.0,4,9.24
Mercedes,Electric,Automatic,Individual,7.1,136794,2.1,188.0,3,29.09
Ford,Petrol,Automatic,Individual,4.9,91971,1.8,185.0,2,17.94
Ford,Petrol,Manual,Dealer,6.5,75282,1.4,123.0,2,8.76
BMW,Petrol,Automatic,Certified,5.2,58236,1.8,126.0,2,24.19
Toyota,Petrol,Automatic,Individual,8.6,74153,2.0,91.0,3,9.65
Ford,Hybrid,Automatic,Dealer,10.2,97321,1.0,110.0,2,10.78
Hyundai,Diesel,Manual,Certified,5.9,105647,1.8,253.0,1,15.79
Nissan,Petrol,Manual,Dealer,9.0,144318,1.8,182.0,1,7.33
Ford,Hybrid,Automatic,Dealer,4.6,109009,1.0,103.0,2,14.57
Ford,Diesel,Manual,Dealer,6.5,80567,2.1,105.0,1,11.62
Ford,Hybrid,Automatic,Dealer,6.0,140683,1.8,75.0,1,14.47
BMW,Hybrid,Automatic,Dealer,4.3,58356,2.8,146.0,2,32.58
Ford,Petrol,Automatic,Individual,10.2,94775,1.4,164.0,1,8.03
Toyota,Petrol,Automatic,Certified,7.4,52434,2.4,176.0,1,21.16
Ford,Hybrid,Automatic,Dealer,3.8,62083,1.1,175.0,1,19.44
Hyundai,Hybrid,Automatic,Dealer,4.6,60744,1.6,110.0,1,18.4
Mercedes,Diesel,Manual,Certified,4.4,119723,1.7,205.0,1,25.15
Ford,Petrol,Automatic,Individual,3.9,62421,1.2,75.0,1,13.04
Honda,Electric,Manual,Individual,3.8,86703,1.3,177.0,2,21.21
Toyota,Petrol,Manual,Dealer,0.0,80265,1.8,198.0,1,20.64
Mercedes,Petrol,Manual,Individual,0.3,100376,2.7,96.0,1,25.38
Toyota,Electric,Manual,Individual,5.9,91100,1.8,136.0,1,21.26
Ford,Petrol,Manual,Dealer,10.0,64736,2.4,161.0,1,13.41
Honda,Petrol,Automatic,Individual,5.1,101836,1.7,148.0,1,12.79
Kia,Diesel,Automatic,Individual,8.4,76663,2.0,185.0,1,11.32
Nissan,Diesel,Automatic,Individual,0.7,81262,,116.0,3,17.17
Honda,Diesel,Manual,Dealer,3.3,81416,1.9,95.0,1,14.72
Nissan,Hybrid,Automatic,Dealer,9.2,110241,1.7,172.0,2,12.21
Honda,Electric,Automatic,Individual,0.0,67582,1.6,99.0,1,29.76
Kia,Petrol,Manual,Dealer,1.8,48332,1.1,75.0,1,12.0
Kia,Petrol,Automatic,Dealer,9.2,119853,1.4,106.0,2,4.5
Hyundai,Diesel,Automatic,Individual,5.3,46334,1.7,161.0,2,14.46
Honda,Petrol,Manual,Individual,7.0,109707,1.6,153.0,2,10.15
Toyota,Petrol,Automatic,Dealer,4.5,106548,2.1,195.0,2,14.49
Ford,Diesel,Automatic,Individual,6.7,143814,1.8,120.0,4,4.5
Toyota,Petrol,Automatic,Certified,3.4,78151,1.2,115.0,4,16.77
Kia,Petrol,Automatic,Individual,6.6,102151,2.7,207.0,1,12.74
Toyota,Petrol,Manual,Individual,10.5,92216,1.9,163.0,2,7.63
Toyota,Diesel,Automatic,Dealer,4.0,146657,1.4,105.0,1,13.7
Ford,Petrol,Automatic,Individual,8.5,100252,1.8,158.0,1,8.81
Ford,Petrol,Automatic,Individual,2.6,115078,2.7,151.0,1,15.36
Kia,Petrol,Manual,Dealer,6.9,66578,1.8,100.0,2,7.25
Toyota,Diesel,Automatic,Dealer,8.4,128151,1.8,215.0,1,16.87
BMW,Petrol,Manual,Dealer,3.6,31850,2.9,140.0,1,27.23
Hyundai,Hybrid,Manual,Individual,5.9,89127,2.0,90.0,1,13.81
Nissan,Electric,Automatic,Individual,3.7,99737,1.7,155.0,2,26.93
Honda,Petrol,Automatic,Dealer,1.5,82732,2.0,224.0,1,20.56
Hyundai,Hybrid,Manual,Certified,2.8,87581,2.3,174.0,1,18.46
Toyota,Petrol,Manual,Individual,6.8,135360,1.8,182.0,1,9.65
Mercedes,Diesel,Automatic,Certified,7.1,130521,2.2,115.0,2,22.19
Honda,Petrol,Manual,Dealer,2.8,57902,2.0,155.0,1,19.32
Honda,Electric,Manual,Dealer,4.2,66231,2.2,,1,21.61
Honda,Petrol,Manual,Individual,5.5,60306,1.9,195.0,1,16.14
BMW,Electric,Manual,Individual,3.1,68050,2.5,82.0,1,28.88
Honda,Diesel,Automatic,Certified,4.5,48771,1.4,162.0,1,20.08
Hyundai,Petrol,Automatic,Certified,3.3,120289,1.7,187.0,1,15.36
Ford,Petrol,Automatic,Dealer,11.3,125006,1.0,124.0,2,5.04
Mercedes,Petrol,Automatic,Individual,10.9,99743,2.2,165.0,2,22.09
Honda,Diesel,Manual,Dealer,3.5,112694,2.6,139.0,1,16.17
Nissan,Petrol,Manual,Individual,4.2,82546,2.1,154.0,3,14.17
Ford,Petrol,Manual,Dealer,6.3,112055,2.4,195.0,1,12.74
Hyundai,Electric,Automatic,Dealer,6.3,124481,2.0,146.0,1,18.84
Hyundai,Petrol,Automatic,Certified,7.2,113925,1.4,189.0,1,13.77
Toyota,Petrol,Automatic,Dealer,4.9,49557,1.3,134.0,3,15.93
Toyota,Diesel,Automatic,Individual,5.6,83553,2.2,144.0,1,16.09
Ford,Diesel,Automatic,Individual,2.9,112722,1.6,128.0,1,16.15
Ford,Hybrid,Manual,Individual,3.8,69987,1.8,137.0,1,18.67
Honda,Petrol,Automatic,Dealer,5.0,92906,2.1,143.0,1,14.37
Honda,Petrol,Manual,Individual,6.1,117020,1.4,110.0,3,7.99
Ford,Petrol,Automatic,Dealer,8.4,93742,2.0,161.0,1,11.84
Hyundai,Petrol,Automatic,Certified,4.2,85841,1.8,204.0,2,18.98
Honda,Petrol,Automatic,Dealer,3.5,89903,2.3,144.0,2,16.22
Honda,Diesel,Automatic,Individual,6.7,98503,2.9,216.0,1,18.23
Nissan,Diesel,Manual,Dealer,5.3,95690,2.0,189.0,1,15.1
Mercedes,Electric,Automatic,Dealer,5.1,46436,1.6,175.0,2,35.81
Toyota,Petrol,Automatic,Dealer,1.9,43891,1.5,132.0,1,20.05
Nissan,Hybrid,Automatic,Certified,7.1,72104,1.6,120.0,3,14.1
Toyota,Petrol,Manual,Certified,4.4,162620,2.1,164.0,1,10.03
Honda,Petrol,Automatic,Certified,8.6,72462,1.9,113.0,2,13.53
Nissan,Electric,Automatic,Individual,5.5,107659,2.4,230.0,2,21.48
Toyota,Petrol,Manual,Individual,9.3,145700,2.1,237.0,2,9.92
Kia,Hybrid,Automatic,Certified,2.5,86194,2.5,183.0,2,22.57
Toyota,Electric,Manual,Individual,7.5,91574,1.9,132.0,1,17.96
Toyota,,Manual,Individual,4.7,118729,2.2,198.0,1,18.15
Kia,Electric,Automatic,Dealer,5.4,105291,1.5,165.0,3,21.83
Nissan,Electric,Automatic,Dealer,8.5,139909,1.3,161.0,1,18.07
Ford,Hybrid,Automatic,Dealer,6.5,95620,2.4,102.0,1,17.4
Toyota,Petrol,Manual,Dealer,7.1,96984,1.0,161.0,1,8.34
Honda,Petrol,Automatic,Individual,6.5,82718,1.8,247.0,1,17.3
Toyota,Hybrid,Automatic,Individual,6.0,84411,1.0,126.0,2,19.7
BMW,Hybrid,Automatic,Individual,4.4,21635,2.7,98.0,1,35.28
Hyundai,Diesel,Automatic,Individual,1.7,99256,1.8,106.0,4,13.42
Honda,Hybrid,Automatic,Individual,4.1,58549,2.0,218.0,3,22.13
Hyundai,Diesel,Automatic,Dealer,10.2,127998,2.0,114.0,2,5.14
Nissan,Petrol,Manual,Dealer,5.9,52527,2.0,103.0,3,11.43
Ford,Petrol,Automatic,Individual,5.0,115660,2.4,153.0,2,9.73
Honda,Electric,Automatic,Dealer,7.9,91813,1.5,146.0,1,23.18
Nissan,Hybrid,Manual,Individual,7.1,106748,1.3,133.0,1,11.19
Nissan,Petrol,Automatic,Certified,1.0,35504,2.3,112.0,1,21.33
Toyota,Diesel,Automatic,Individual,3.5,135451,1.5,104.0,2,13.75
Nissan,Hybrid,Automatic,Individual,8.4,80659,1.2,102.0,1,16.22
Honda,Petrol,Automatic,Dealer,5.7,159026,2.7,187.0,1,12.32
Toyota,Hybrid,Manual,Individual,1.0,15830,1.6,114.0,1,22.36
Toyota,Petrol,Automatic,Dealer,4.5,107384,1.4,181.0,2,16.51
Mercedes,Petrol,Manual,Dealer,7.2,108174,1.7,135.0,1,17.61
Toyota,Electric,Manual,Certified,6.5,90401,1.0,150.0,1,20.51
Mercedes,Diesel,Manual,Individual,5.6,105454,1.5,155.0,2,19.12
Honda,Petrol,Manual,Dealer,3.6,131515,1.9,170.0,2,13.37
BMW,Petrol,Automatic,Dealer,7.5,106309,1.2,102.0,2,16.57
Toyota,Petrol,Manual,Individual,11.1,123844,1.9,94.0,1,4.5
Hyundai,Diesel,Automatic,Dealer,5.6,107695,1.8,102.0,2,12.93
Ford,Electric,Automatic,Dealer,12.1,148823,1.0,148.0,2,11.36
BMW,Diesel,Automatic,Individual,4.0,44279,1.5,138.0,3,19.05
Kia,Diesel,Automatic,Individual,12.5,173136,1.6,189.0,2,4.5
Ford,Petrol,Automatic,Individual,2.7,65332,1.7,140.0,2,13.75
Hyundai,Hybrid,Automatic,Dealer,4.0,72538,2.4,175.0,2,23.08
Kia,Hybrid,Automatic,Dealer,4.2,131777,1.1,126.0,2,14.07
Hyundai,Hybrid,Automatic,Dealer,5.9,104336,2.5,153.0,2,19.47
Nissan,,Manual,Individual,2.9,98429,1.7,173.0,3,23.9
Ford,Diesel,Automatic,Certified,6.4,95251,1.2,128.0,2,11.84
Honda,Petrol,Automatic,Individual,8.8,128118,2.1,198.0,1,9.26
Ford,Petrol,Manual,Dealer,6.6,88929,1.5,156.0,1,9.58
Honda,Petrol,Manual,Individual,8.1,92008,1.6,97.0,1,7.0
Toyota,Electric,Automatic,Dealer,8.1,102605,2.8,206.0,3,19.48
Mercedes,Hybrid,Manual,Individual,8.0,50850,2.2,141.0,1,28.7
Honda,Diesel,Automatic,Certified,3.3,107946,1.6,173.0,3,18.49
Honda,Petrol,Automatic,Dealer,5.9,99763,2.0,190.0,1,19.19
Nissan,Diesel,Manual,Dealer,7.1,66453,1.5,113.0,2,11.79
BMW,Electric,Manual,Certified,4.5,81816,1.8,147.0,1,30.04
Ford,Petrol,Automatic,Individual,6.5,70402,2.4,142.0,2,14.46
Nissan,Petrol,Manual,Certified,3.2,129026,1.7,91.0,1,7.11
Kia,Petrol,Automatic,Dealer,2.5,31485,2.2,189.0,1,23.33
Kia,Petrol,Automatic,Individual,4.9,115602,1.0,138.0,2,7.19
,Petrol,Automatic,Individual,8.8,135875,1.8,121.0,2,5.18
Honda,Hybrid,Automatic,Dealer,6.2,63566,2.1,102.0,4,18.26
Toyota,Hybrid,Automatic,Individual,5.1,122496,2.2,169.0,4,17.42
Toyota,Electric,Automatic,Certified,3.2,55649,2.2,171.0,2,36.52
Toyota,Petrol,Manual,Individual,2.0,73303,1.2,103.0,1,13.69
Honda,Petrol,Automatic,Dealer,5.0,68004,2.1,103.0,1,12.66
Mercedes,Petrol,Automatic,Certified,5.1,143238,1.8,88.0,1,23.02
Honda,Electric,Automatic,Dealer,6.4,111173,1.3,127.0,1,19.82
Ford,Petrol,Automatic,Individual,4.1,110788,1.5,151.0,1,9.24
Ford,Hybrid,Manual,Individual,4.8,69939,2.4,135.0,1,17.56
Honda,Petrol,Automatic,Certified,6.8,88758,2.0,85.0,2,12.47
Toyota,Petrol,Manual,Individual,6.5,61572,2.2,191.0,1,17.26
Honda,Petrol,Automatic,Dealer,6.0,101563,2.3,94.0,1,11.57
Kia,Electric,Automatic,Individual,8.6,89573,,106.0,3,11.1
Nissan,Petrol,Automatic,Dealer,3.7,82812,2.2,226.0,1,22.43
BMW,Electric,Automatic,Dealer,4.9,110422,1.0,236.0,2,27.2
Ford,Petrol,Automatic,Dealer,7.5,154099,1.6,141.0,1,8.63
Honda,Petrol,Manual,Certified,7.8,84437,1.7,132.0,2,8.78
BMW,Hybrid,Manual,Dealer,0.8,51499,2.1,153.0,4,32.28
Hyundai,Petrol,Manual,Individual,6.1,102878,1.0,191.0,2,10.38
Mercedes,Diesel,Manual,Certified,5.4,59753,1.6,86.0,1,26.17
Honda,Petrol,Automatic,Certified,4.9,121271,2.4,144.0,3,16.03
Toyota,Electric,Automatic,Individual,2.2,59987,1.1,97.0,2,28.8
Hyundai,Electric,Manual,Certified,1.7,81656,1.6,75.0,1,24.21
Ford,Hybrid,Manual,Dealer,10.7,149162,1.7,151.0,1,7.06
Nissan,Hybrid,Manual,Individual,5.6,92888,2.7,153.0,1,17.84
BMW,Petrol,Manual,Individual,5.4,133260,2.6,142.0,3,15.58
Toyota,Petrol,Automatic,Dealer,8.4,99316,2.0,75.0,2,7.37
Mercedes,Diesel,Automatic,Dealer,7.1,91015,2.2,166.0,1,25.62
Nissan,Petrol,Manual,Certified,4.8,93330,1.7,158.0,2,11.29
Ford,Diesel,Automatic,Dealer,11.8,154531,1.7,175.0,2,4.5
Nissan,Diesel,Automatic,Dealer,5.9,103716,2.0,215.0,1,13.86
Toyota,,Automatic,Dealer,7.4,72206,1.7,216.0,1,18.45
Honda,Diesel,Automatic,Certified,7.8,88078,1.0,151.0,1,15.01
BMW,Petrol,Manual,Dealer,7.4,65555,1.4,109.0,1,18.06
BMW,Petrol,Manual,Individual,5.7,83814,1.8,142.0,3,18.27
Nissan,Petrol,Automatic,Dealer,7.1,57916,1.8,112.0,4,12.32
Nissan,Electric,Automatic,Dealer,0.0,41443,1.1,161.0,1,32.29
Ford,Hybrid,Automatic,Individual,0.9,94671,2.2,79.0,1,19.2
Hyundai,Hybrid,Automatic,Individual,5.8,102863,1.6,76.0,1,12.04
Hyundai,Diesel,Manual,Individual,9.2,96745,1.7,121.0,1,7.47
Kia,Electric,Automatic,Individual,8.4,116073,2.1,232.0,1,20.48
Toyota,Petrol,Automatic,Individual,12.6,178468,1.5,139.0,1,4.5
Ford,Diesel,Automatic,Individual,6.8,127941,2.0,159.0,1,11.55
Kia,Petrol,Automatic,Certified,7.6,132450,1.5,172.0,1,12.04
Mercedes,Hybrid,Automatic,Dealer,5.2,53854,2.3,174.0,2,35.31
Mercedes,Diesel,Automatic,Dealer,3.0,112784,2.3,141.0,1,29.33
Nissan,Petrol,Automatic,Individual,5.4,111846,2.3,147.0,2,10.13
Toyota,Diesel,Automatic,Individual,9.3,73155,1.7,193.0,2,13.61
Toyota,Petrol,Automatic,Dealer,4.2,55984,1.6,136.0,1,16.11
Toyota,Petrol,Automatic,Dealer,7.8,100287,1.0,137.0,1,13.01
Hyundai,Petrol,Manual,Individual,4.8,103301,1.7,152.0,4,5.54
Ford,Petrol,Automatic,Individual,4.5,129549,1.5,178.0,1,10.24
Toyota,Electric,Automatic,Dealer,2.8,110900,1.4,144.0,1,27.34
Honda,Petrol,Automatic,Individual,4.1,87239,2.0,226.0,1,20.39
BMW,Hybrid,Automatic,Individual,8.4,136072,1.4,202.0,1,22.37
Ford,Diesel,Automatic,Individual,1.6,59484,1.8,154.0,2,16.5
Mercedes,Hybrid,Automatic,Certified,4.2,151458,1.1,138.0,2,26.3
Ford,Diesel,Manual,Dealer,2.2,77319,2.1,169.0,2,16.47
Kia,Hybrid,Automatic,Dealer,6.5,156526,1.6,104.0,1,12.37
Ford,Petrol,Automatic,Individual,2.8,115804,2.2,109.0,2,11.76
BMW,Diesel,Automatic,Individual,3.4,80911,2.0,157.0,2,22.79
Kia,Petrol,Automatic,Individual,2.6,113422,1.7,141.0,1,10.59
Honda,Hybrid,Automatic,Individual,2.4,55192,2.3,191.0,2,26.22
Nissan,Diesel,Automatic,Certified,4.9,34811,1.1,75.0,2,19.32
Hyundai,Petrol,Automatic,Individual,4.1,71874,2.2,144.0,2,14.17
Nissan,Petrol,Manual,Dealer,5.2,54544,1.5,131.0,2,9.47
Honda,Hybrid,Automatic,Dealer,9.0,86918,1.0,135.0,1,14.79
Honda,,Manual,Certified,9.3,87371,1.9,174.0,1,18.01
Ford,Electric,Manual,Individual,10.3,129050,,163.0,3,10.22
Toyota,Hybrid,Manual,Certified,4.5,186324,1.6,141.0,2,9.11
